Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
06-12-2023,190.3426361,1221.509155,3356.57959,10413.61426,792.2270508,144.5200043,987.0706177,1388.031128
07-12-2023,192.272583,1219.498901,3366.637451,10483.09961,793.5167236,146.8800049,982.8891602,1380.122681
08-12-2023,193.6977844,1218.853638,3377.627441,10406.55859,804.5888062,147.4199982,994.5480347,1403.895142
11-12-2023,191.1937866,1220.640503,3392.715088,10331.29199,803.5181274,145.8899994,1000.697266,1401.400146
12-12-2023,192.7080536,1203.120117,3419.90918,10132.00195,795.536499,147.4799957,999.3198242,1389.678711
13-12-2023,195.9246521,1208.033691,3346.75415,10172.81934,793.7357788,148.8399963,997.5488892,1364.21167
14-12-2023,196.0731201,1223.022827,3415.392578,10146.50586,803.1044922,147.4199982,1016.980347,1413.592407
15-12-2023,195.5386505,1238.632324,3595.836182,10081.03906,806.2192383,149.9700012,1020.669922,1486.039795
18-12-2023,193.8759308,1251.239014,3594.159424,10113.57617,805.805542,154.0700073,1004.977112,1472.811646
19-12-2023,194.9151459,1269.65271,3554.112793,10029.29297,804.4428711,153.7899933,999.0739136,1467.115967
20-12-2023,192.8268127,1254.291382,3520.445313,9879.985352,806.4382324,152.1199951,990.4158325,1446.497314
21-12-2023,192.67836,1271.86145,3527.383789,9812.950195,820.8928223,153.8399963,988.2020874,1446.120728
22-12-2023,191.6094666,1273.102295,3561.377197,10013.17285,813.178894,153.4199982,978.2649536,1471.446655
26-12-2023,191.0651245,1279.554443,3534.881104,10065.60352,818.8244019,153.4100037,979.052063,1453.605591
27-12-2023,191.164093,1283.922241,3549.456055,10083.09766,828.9718018,153.3399963,986.086792,1475.400879
28-12-2023,191.5896606,1293.203491,3538.932129,10066.53418,829.9208374,153.3800049,989.6779175,1471.211426
29-12-2023,190.5504761,1282.979004,3532.878662,10096.6709,831.8676147,151.9400024,980.527832,1452.616943
02-01-2024,183.7312927,1296.255859,3523.37915,9994.15918,826.9277344,149.9299927,966.4093018,1444.614258
